domain,phone_numbers,social_links,address
https://www.mygentxt.org,,https://www.youtube.com/watch?v=Tym5FPVtxRM; https://www.facebook.com/home.php#!/pages/GentXt/126974930683972; https://twitter.com/tulsa_gentxt; https://www.youtube.com/watch?v=S_-6EoNhitg,
https://www.mingchienliang.com,,http://www.facebook.com/; http://www.twitter.com/wix,
https://www.mlfcare.org,(626) 281-9820,https://www.facebook.com/MorningLightFoundation/,"150 Pasadena, CA 91106"
https://www.rlosrivera.com,,,
https://www.timhalberg.com,,,
https://www.lammrubenstone.com,,,
https://www.lonepeakdoodles.com,,,
https://www.bellevueisd.org,940-928-2104,https://www.facebook.com/bellevueisd/; //www.facebook.com/bellevueisd,"Bellevue ISD 500 7th St. P.O Box 38 Bellevue, TX  76228 PH: 940-928-2104"
https://www.bigtransformerbushings.com,330-493-1890; 330-493-1893,,
https://www.assemblyninja.com,(909) 278-9985,,
https://www.burst-media.com,208-573-9931,https://www.facebook.com/BurstMediaLLC/,
https://www.oneforallartists.com,267-254-4148; (267) 254-4148,https://www.instagram.com/oneforallartists/; http://facebook.com/oneforallartists; https://www.instagram.com/p/CDsXW3dDkoH/?utm_source=ig_web_copy_link; https://www.youtube.com/channel/UCOYtNF_UyP0cEgmMpqxxwgg?view_as=subscriber; https://l.facebook.com/l.php?__tn__=-UK-R&c%5B0%5D=AT3bTqn5E5lHEdZozd1PEOjamu4LOetS3s9sTMt1nMQpTFsr1ZGnq7ucJ6jqvMraXGUe7T7xER1RLVCl84RyY4DwsRtBs5-NqXaFoJ5JNqMG8as-g4HtBY2ciYCG7TlcAoRavw6-mgTtN1NjM__xueOGSvT_6sjqJJPzJ7VFJvVbqdA&h=AT3b37TAbhxGtqA__-EQO_7VJSzrfrxRW2kQQ9c4zTwBzmH2dyUUO7QGk8ZhsJ6CHX5FpM62R28_9d7KBIMRUkStOrMZazwoS0tVj4btCKeM24XGXTNIBV7qU_s004aKD4SXKzk&u=https%3A%2F%2Fbit.ly%2F34VAP9L%3Ffbclid%3DIwAR2PgS79uvyAfGOe1urAmPdCWaDfnau0dvX8ZH8DEHI8J2lnkgfuc9B8Qa0,
https://www.acifund.com,,,"202 Thousand Oaks, CA 91360"
https://www.garrettwietholter.com,(317) 873-8958; (317) 873-3230; 309-622-5001,https://www.youtube.com/watch?v=rduz97UP9So; https://www.facebook.com/153341281385570; https://www.youtube.com/watch?v=dd5gysBEOa0; https://www.youtube.com/watch?v=qGcUFpgTEe0; https://www.linkedin.com/in/garrett-wietholter-b5037a88; https://www.youtube.com/watch?v=oujBAE-RjKc,"100 Zionsville, IN 46077"
https://www.gsiprint.com,(248) 960-0077; (248) 960-0079,,"3100 Old Farm Lane, Suite 10 Walled Lake, MI 48390-1652"
https://www.myzerly.com,,https://www.linkedin.com/pub/nic-edwards/36/a77/7a5/,
https://www.deepdivecounseling.net,,,
https://www.ortsac.com,,,
https://www.haciendailusionpr.com,(787) 354-5005,https://www.facebook.com/HaciendaIlusionPR/; https://www.instagram.com/haciendailusion/; https://www.youtube.com/channel/UCpJEJbP1GAm1qAsjJoXO4ng,
https://www.spots.edu,,https://www.instagram.com/saintphotiosseminary/?hl=en/; https://www.facebook.com/saintphotiosseminary/; https://www.youtube.com/channel/UCgEVlUNCkLecfOwOTDYE6jg/,
https://www.norconindustries.net,,,
https://www.maryfrancespencer.com,818-209-1854,https://www.instagram.com/mf_spencer/; https://www.facebook.com/mary.f.spencer.9/,
https://www.wadeloans.com,,,
https://www.ubercigar.com.au,,https://www.instagram.com/ubercigar/; https://www.facebook.com/groups/680435820719649/; https://www.youtube.com/@ubercigar,
https://www.rebeccathebadass.com,,https://www.instagram.com/rebeccaekeating/,
https://www.dolee-rentals.com,(229) 436-9620,https://twitter.com/; https://facebook.com/DoLee-Rentals-Inc-141860142549724; https://twitter.com/DexYPHQ/,"1001 W Oglethorpe Blvd Albany, GA 31701"
https://www.joyfuladoptions.com,703-222-1101; 703-222-3393,,"7016 Balmoral Forest Road Clifton, VA 20124"
https://www.harlongroup.com,,,
https://www.willowglenhomeandgarden.com,408 286 1400; 95125 408 286 1400,http://www.facebook.com/willowglenhomeandgarden,1123 Lincoln Avenue
https://www.thej3group.com,,,
https://www.anthonymarlowe.com,319-621-8007,https://twitter.com/AnthonyMarlowe; https://www.linkedin.com/in/anthonymarlowe/; https://www.facebook.com/AnthonyMarlowe,
https://www.citycenterwaco.com,254-754-8989,https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.facebook.com%2F216687328438429%2Fposts%2F752147793858949&title=%09%09%09Looking%20to%20beat%20the%20heat%20this%20summer%3F%F0%9F%8C%A4%EF%B8%8F%20Stay%20cool%20and%20crafty%20at%20Art%20Center%20Waco%21%20Grab%20your%20friends%20and%20family%20for%20creative%20workshops%2C%20kids%20camps%20and%20exhibits%20all%20summer%20long.%F0%9F%8E%A8%09%09%09%09; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.facebook.com%2F216687328438429%2Fposts%2F752147793858949; https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2F216687328438429%2Fposts%2F752147793858949; https://www.facebook.com/216687328438429/posts/752147793858949; https://www.facebook.com/downtownwacotx/; https://facebook.com/216687328438429; https://www.instagram.com/wacodowntown/,
https://www.puppetheap.com,,https://www.linkedin.com/company/puppetheap/; http://instagram.com/puppetheap; http://youtube.com/puppetheap; https://www.facebook.com/puppetheap/,
https://www.pawsinmotionla.com,,,
https://www.thelocalmanjakemangan.com,(516) 361-9474,https://www.linkedin.com/in/localmanjakemangan/; https://www.youtube.com/channel/UCZ6jVxTTC46emI_WcT40PuA,
https://www.two2brew.com,877-662-7544,https://www.facebook.com/hellotwo2brew/; //www.facebook.com/sharer.php?u=https://two2brew.com/products/blendtec-chef-blender; //twitter.com/intent/tweet?text=Blendtec%20Chef%20Blender&url=https://two2brew.com/products/blendtec-chef-blender; https://www.youtube.com/channel/UCyycXJiRJ_Zclyrnr8wI-og; https://instagram.com/hellotwo2brew,
https://www.moving2branson.com,,,
https://www.darstproperties.com,781-741-5060; 781-741-9942,,
https://www.salinasidingcompany.com,(785) 390-8822; 785-390-8822,https://www.facebook.com/Salina-Siding-Company-104405568676524; https://www.linkedin.com/company/75604120/,
https://www.shiftflg.com,,,
https://www.coloradolivingblog.com,,https://www.youtube.com/channel/UCo0yEH90K7mYwpO98INmkoA; https://www.instagram.com/coloradolivingblog/; https://www.facebook.com/coloradolivingblog/ ; https://www.linkedin.com/company/windermere-real-estate/,
https://www.kelleyroadrace.com,,,
https://www.rmiflooring.com,833-641-4912,https://www.instagram.com/rmiflooring/; https://www.facebook.com/RMInteriorsFlooring; https://www.linkedin.com/company/rm-interiors-&-design-inc,"9219 Mesa 2925 N Norwalk Mesa, AZ 85215"
https://www.putitontheglass.com,,,
https://www.wanakenapinecone.wordpress.com,315-309-4040,https://www.facebook.com/profile.php,
https://www.mazalai.com,510-309-6812,https://www.linkedin.com/company/mazalai-corp/; https://www.instagram.com/mazalai_/; https://www.facebook.com/mazalaicorp/,
https://www.ihostnewyork.com,(212) 888-9494,http://instagram.com/ihostnewyork/; https://www.facebook.com/pages/iHostNewYork/692220950894801; https://twitter.com/iHostNewYork,
https://www.capricommercialcapital.com,503-765-6960,,
https://www.foreverepoxy.com,,https://www.facebook.com/forever.epoxy/; https://www.facebook.com/epoxy.forever,
https://www.marrs-jonesfuneralhome.com,512-237-2425,http://www.facebook.com/MarrsJonesFuneralHomeAllFaithsofthePinesChapel/,
https://www.figlass.biz,631-583-5644; 845-354-6074,,
https://www.brynbachman.com,,https://www.linkedin.com/in/bryn-bachman-4a5364278/,
https://www.totalseal.com,,https://www.youtube.com/channel/UCwcu9GQ0tsjaWGcn0bKAr3Q; https://www.instagram.com/total.seal/; https://www.facebook.com/totalseal.pistonrings/,
